,Opposition,Distance,HSR,Sprint,Accelerations,Decelerations,Jumps,match_id,season_name,team,opposition_team,goals_scored,goals_conceded,np_xg,np_xg_conceded,shots,shots_on_target,opposition_shots,opposition_shots_on_target,passes,opposition_passes,completed_passes_into_the_box,pressures,pressure_regains,fouls,tackles,yellow_cards,xg_within_8_seconds_of_corner,xg_conceded_within_8_seconds_of_corner,shots_within_8_seconds_of_corner,shots_conceded_within_8_seconds_of_corner,goals_within_8_seconds_of_corner,goals_conceded_within_8_seconds_of_corner,xg_within_8_seconds_of_indirect_free_kick,xg_conceded_within_8_seconds_of_indirect_free_kick,shots_within_8_seconds_of_indirect_free_kick,shots_conceded_within_8_seconds_of_indirect_free_kick,goals_within_8_seconds_of_indirect_free_kick,goals_conceded_within_8_seconds_of_indirect_free_kick,possession,final_third_possession,ppda,completed_passes_and_carries_into_final_third,match_outcome,date,monte_carlo_win_prob,monte_carlo_draw_prob,monte_carlo_loss_prob,location,lineup
22,Stoke,104032.55,5752.98,972.39,317.0,424.0,46.0,3767015.0,2021,Coventry City,Stoke City,0.0,0.0,0.4493644,1.59718538,7.0,2.0,11.0,1.0,456.0,526.0,11.0,114.0,11.0,12.0,16.0,0.0,0.0,0.130157,0.0,1.0,0.0,0.0,0.0499406,0.4299166,1.0,2.0,0.0,0.0,46.0,49.0,17.88888888888889,32.0,draw,2020-12-26,0.0792,0.2231,0.6977,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 93.5167}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 93.5167}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 20.0833}, {'player_id': 7537, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 93.5167}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 73.4333}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 93.5167}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Defensive Midfield', 'minutes_played': 20.1167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 93.5167}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Forward', 'minutes_played': 6.86667}, {'player_id': 11249, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 93.5167}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 93.5167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 86.65}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 73.4}, {'player_id': 29397, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 93.5167}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 47881, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
23,Preston,102437.98,5292.74,851.33,291.0,400.0,39.0,3767105.0,2021,Coventry City,Preston North End,0.0,2.0,1.01190813,1.0269775,12.0,4.0,7.0,4.0,523.0,380.0,8.0,109.0,21.0,12.0,15.0,0.0,0.32915883,0.0,2.0,0.0,0.0,0.0,0.0521604,0.2847832,1.0,3.0,0.0,1.0,58.0,60.0,8.227272727272727,49.0,lost,2020-12-29,0.3285,0.3365,0.335,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.9833}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 71.85}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 96.9833}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 96.9833}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.9833}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Defensive Midfield', 'minutes_played': 36.6833}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.9833}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 36.6833}, {'player_id': 11249, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 96.9833}, {'player_id': 22361, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 25.45}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 60.7833}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 60.7833}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 71.5333}, {'player_id': 29977, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 25.1333}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.9833}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 47881, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
24,Millwall,108308.33,6720.19,1049.7,333.0,413.0,60.0,3766811.0,2021,Coventry City,Millwall,2.0,1.0,1.8755119,0.335509,17.0,5.0,5.0,2.0,509.0,511.0,5.0,144.0,32.0,10.0,24.0,1.0,0.2512728,0.0,4.0,0.0,0.0,0.0,0.2001471,0.0896792999999999,2.0,2.0,0.0,0.0,50.0,49.0,9.517241379310343,37.0,won,2021-01-02,0.5508,0.2678,0.1814,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 99.9333}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 99.9333}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 14.4833}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 99.9333}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 85.6667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 99.9333}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Attacking Midfield', 'minutes_played': 70.8167}, {'player_id': 11249, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 13268, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 99.9333}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 99.9333}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Attacking Midfield', 'minutes_played': 99.9333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 99.9333}, {'player_id': 29397, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Attacking Midfield', 'minutes_played': 29.1167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 99.9333}, {'player_id': 47881, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
25,Norwich City,,,,,,,,2021,Coventry City,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-09,,,,away,[]
26,Reading,101524.31,5517.18,1076.2,296.0,382.0,34.0,3766648.0,2021,Coventry City,Reading,0.0,3.0,0.6361331,1.59618898,7.0,2.0,12.0,6.0,566.0,459.0,10.0,177.0,30.0,19.0,20.0,2.0,0.310099,0.0,2.0,0.0,0.0,0.0,0.150758,0.0188695,2.0,1.0,0.0,0.0,55.0,70.0,8.131578947368421,50.0,lost,2021-01-19,0.1215,0.2348,0.6437,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.8667}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 80.7}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Back', 'minutes_played': 16.3667}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 80.5}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 72.65}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 36.3167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.8667}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 88.3333}, {'player_id': 11249, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 13268, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Back', 'minutes_played': 8.98333}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 96.8667}, {'player_id': 15491, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.8667}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 96.8667}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 60.75}, {'player_id': 29363, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 16.1667}, {'player_id': 29977, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 8.76667}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 88.3333}]"
27,Sheffield Wednesday,97576.0,7009.0,1598.0,338.0,407.0,45.0,3766923.0,2021,Coventry City,Sheffield Wednesday,2.0,0.0,1.27074885,0.2502828,14.0,4.0,6.0,1.0,424.0,379.0,12.0,135.0,25.0,10.0,23.0,2.0,0.2572373,0.0776234,3.0,3.0,0.0,0.0,0.07594,0.0214558,2.0,1.0,0.0,0.0,53.0,52.0,6.448275862068965,27.0,won,2021-01-27,0.6794,0.262,0.0586,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.9}, {'player_id': 3355, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Forward', 'minutes_played': 12.0833}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 96.9}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 12.0833}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Back', 'minutes_played': 47.7167}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 84.8167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.9}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Defensive Midfield', 'minutes_played': 31.6}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 96.9}, {'player_id': 15491, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Back', 'minutes_played': 96.9}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 96.9}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 84.8167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 65.55}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.9}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Back', 'minutes_played': 49.1833}]"
28,Birmingham,100187.0,6098.0,1253.0,316.0,370.0,79.0,3766595.0,2021,Coventry City,Birmingham City,1.0,1.0,1.2467809,1.3161464,13.0,3.0,12.0,1.0,423.0,375.0,8.0,166.0,35.0,11.0,24.0,1.0,0.0,0.6337868,0.0,6.0,0.0,0.0,0.3292224,0.161723,3.0,1.0,0.0,0.0,53.0,38.0,3.736842105263158,29.0,draw,2021-01-30,0.171,0.227,0.602,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.2167}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 95.2167}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.2167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.2167}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Midfield', 'minutes_played': 26.7667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 95.2167}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Back', 'minutes_played': 95.2167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 95.2167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 95.2167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 68.6667}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.2167}, {'player_id': 35241, 'squad_role': 'Starting XI', 'position': 'Right Back', 'minutes_played': 95.2167}]"
29,Notts Forest ,105195.0,5607.0,803.0,294.0,384.0,60.0,3781433.0,2021,Coventry City,Nottingham Forest,1.0,2.0,0.821005,0.6036109,14.0,4.0,6.0,1.0,574.0,371.0,15.0,103.0,21.0,13.0,21.0,1.0,0.0691773,0.115697,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,65.0,4.970588235294118,68.0,lost,2021-02-02,0.3702,0.3825,0.2473,home,"[{'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 107.317}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 29.3667}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 107.317}, {'player_id': 7537, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Back', 'minutes_played': 58.2167}, {'player_id': 7644, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Wing', 'minutes_played': 2.81667}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 107.317}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 107.317}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 107.317}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Back', 'minutes_played': 107.317}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 107.317}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 75.1333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 49.1}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Midfield', 'minutes_played': 58.2167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 107.317}, {'player_id': 35241, 'squad_role': 'Starting XI', 'position': 'Right Back', 'minutes_played': 49.1}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
30,Watford,106034.0,7621.0,1700.0,292.0,386.0,66.0,3766996.0,2021,Coventry City,Watford,0.0,0.0,1.0946988,0.9555222,14.0,6.0,14.0,2.0,423.0,477.0,7.0,138.0,23.0,13.0,17.0,0.0,0.0128857,0.0,1.0,0.0,0.0,0.0,0.5170435,0.021515,3.0,1.0,0.0,0.0,47.0,40.0,10.0,43.0,draw,2021-02-06,0.3905,0.3182,0.2913,home,"[{'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 96.2}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 96.2}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.2}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 67.3333}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9709, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 96.2}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.2}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 10.2667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 86.8333}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.2}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 86.8333}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Defensive Midfield', 'minutes_played': 9.66667}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.2}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.2}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 35241, 'squad_role': 'Substitution - On (Injury)', 'position': 'Right Wing Back', 'minutes_played': 29.7667}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
31,Cardiff,104480.0,6418.0,1031.0,323.0,389.0,35.0,3766994.0,2021,Coventry City,Cardiff City,1.0,3.0,1.95710668,1.3058949,21.0,5.0,8.0,3.0,563.0,320.0,13.0,147.0,36.0,11.0,22.0,1.0,0.024184,0.0,1.0,0.0,0.0,0.0,0.4993759,0.0625978,4.0,1.0,1.0,1.0,64.0,62.0,8.38888888888889,48.0,lost,2021-02-13,0.5133,0.2701,0.2166,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 95.1667}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 95.1667}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.1667}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 95.1667}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Attacking Midfield', 'minutes_played': 33.8}, {'player_id': 9709, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Back', 'minutes_played': 33.5833}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 80.3667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.1667}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 14.7833}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Attacking Midfield', 'minutes_played': 61.3667}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 80.3833}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Attacking Midfield', 'minutes_played': 95.1667}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 15.1}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.1667}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 61.5833}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
32,Norwich,109655.0,6623.0,1096.0,320.0,446.0,32.0,3766666.0,2021,Coventry City,Norwich City,0.0,2.0,1.0757848,1.5407657,10.0,4.0,13.0,5.0,362.0,651.0,5.0,175.0,30.0,23.0,23.0,1.0,0.0234561,0.2653923,1.0,3.0,0.0,0.0,0.0,0.0374878,0.0,1.0,0.0,0.0,36.0,44.0,11.078947368421051,36.0,lost,2021-02-17,0.2431,0.2758,0.4811,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.4333}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 47.2}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 79.3833}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 59.4667}, {'player_id': 9276, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 65.4}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.4333}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 49.2333}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.4333}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.4333}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 96.4333}, {'player_id': 15811, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 17.05}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 96.4333}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 31.1667}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 47.2}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Back', 'minutes_played': 49.2333}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 36.9667}]"
